timestamp,status,iou,h_det,h_gt,l_det,l_gt,score,type_det,type_gt,w_det,w_gt,x_det,x_gt,y_det,y_gt,z_det,z_gt
22464.016,fp,0.0,1.4049340486526491,,3.1087539196014404,,1.0,Car,,1.5144120454788208,,8.242000486712447,,-1.7888577578972675,,-0.7639955636573692,
22464.066,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22464.066,fp,0.0,1.4073833227157593,,3.211466073989868,,1.0,Car,,1.5390679836273191,,9.033862214276754,,-1.9741719336058805,,-0.8287183083906946,
22464.116,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22464.116,fp,0.0,1.435452222824097,,3.34662127494812,,1.0,Car,,1.5625057220458984,,8.940423236352844,,-1.9363265960710128,,-0.8250978897884379,
22464.166,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22464.166,fp,0.0,1.4215790033340454,,3.290973663330078,,1.0,Car,,1.5575624704360962,,8.893797330999716,,-1.9281587394429132,,-0.8193366689377442,
22464.216,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22464.216,fp,0.0,1.403527855873108,,3.1142492294311523,,1.0,Car,,1.5233701467514038,,8.769937566542072,,-1.9083014210754703,,-0.8020907441237809,
22464.266,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22464.266,fp,0.0,1.4311896562576294,,3.2453975677490234,,1.0,Car,,1.5552241802215576,,9.083490634243542,,-1.9763346736745693,,-0.8337705056359948,
22464.316,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22464.316,fp,0.0,1.4256006479263306,,3.274393320083618,,1.0,Car,,1.5551894903182983,,9.13594287892974,,-1.9876144338428336,,-0.8394487624496669,
22464.366,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22464.366,fp,0.0,1.4040541648864746,,3.1263544559478764,,1.0,Car,,1.5275009870529177,,9.129179104802876,,-2.1127228009320533,,-0.828515534885744,
22464.416,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22464.416,fp,0.0,1.422873854637146,,3.2760410308837886,,1.0,Car,,1.5502606630325315,,8.939029701569641,,-1.9474232518767844,,-0.8224821329558853,
22464.466,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22464.466,fp,0.0,1.427052617073059,,3.337326765060425,,1.0,Car,,1.5494601726531982,,8.861283301777524,,-1.9254979391106808,,-0.8168432246012465,
22464.516,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22464.516,fp,0.0,1.4169245958328247,,3.2641696929931636,,1.0,Car,,1.551327347755432,,8.788594951395211,,-1.9043279444364287,,-0.8082625237812913,
22464.566,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22464.566,fp,0.0,1.4167711734771729,,3.2040464878082275,,1.0,Car,,1.5484126806259155,,8.876809328518277,,-1.9287608034662007,,-0.8149051061531623,
22464.616,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22464.616,fp,0.0,1.4260849952697754,,3.2051920890808105,,1.0,Car,,1.5442925691604614,,9.005476694067188,,-1.9598465078103555,,-0.8259574777811327,
22464.666,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22464.666,fp,0.0,1.419257879257202,,3.2052502632141118,,1.0,Car,,1.5428507328033447,,8.594702391962823,,-1.8610777056706376,,-0.8104336019400762,
22464.716,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22464.716,fp,0.0,1.398283839225769,,3.089435815811157,,1.0,Car,,1.5196779966354368,,9.078995361570561,,-2.0874325129645106,,-0.8238944398994246,
22464.766,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22464.766,fp,0.0,1.4132564067840576,,3.201889753341675,,1.0,Car,,1.5420417785644531,,9.000452333705269,,-1.9664017358098675,,-0.8253127145851877,
22464.816,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
